year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price
0.008585,ford,deluxe,excellent,6,gas,0.001843,clean,manual,rwd,full-size,sedan,black,9500
0.008585,chevrolet,3100 truck',good,6,gas,0.002515,clean,manual,rwd,full-size,truck,green,16000
0.008585,ford,sedan,good,8,gas,0.004713,clean,manual,fwd,mid-size,sedan,green,18000
0.008585,chevrolet,sport coupe',excellent,8,gas,0.001234,clean,automatic,rwd,mid-size,coupe,yellow,22000
0.008585,chevrolet,sport coupe','like new',8,gas,0.001234,clean,automatic,rwd,mid-size,coupe,yellow,22000
0.008585,ford,f-150,excellent,8,gas,0.00242,clean,automatic,rwd,full-size,truck,red,22900
0.014085,ford,deluxe,good,6,gas,0.01,clean,automatic,rwd,full-size,convertible,grey,5950
0.014085,ford,deluxe,good,6,gas,0.01,clean,automatic,rwd,full-size,convertible,grey,5950
0.014085,chevrolet,styleline deluxe',good,6,gas,0.0042,clean,manual,rwd,full-size,sedan,green,5950
0.014085,dodge,b-3-b,good,6,gas,0.0069,clean,manual,rwd,full-size,pickup,green,9500
0.014085,jeep,cj 3a willys','like new',4,gas,0.001441,clean,manual,4wd,mid-size,sedan,red,20000
0.014085,mercury,monterey,good,8,gas,0.001714,clean,automatic,rwd,full-size,coupe,black,35000
0.014085,ford,convertible,excellent,8,gas,0.000351,clean,manual,fwd,full-size,convertible,red,35000
0.014085,pontiac,sedan delivery',excellent,6,gas,0.003743,clean,manual,rwd,full-size,sedan,yellow,36000
0.014085,chevrolet,pickup,excellent,8,gas,0.002,clean,automatic,rwd,full-size,pickup,black,38500
0.028169,mercury,monterey,fair,8,gas,0.0089,lien,automatic,rwd,mid-size,sedan,grey,6500
0.028169,ford,f1,good,8,gas,1e-05,clean,automatic,rwd,mid-size,truck,custom,13000
0.028169,dodge,m 37',good,6,gas,0.000655,clean,manual,4wd,full-size,truck,green,15000
0.028169,chevrolet,3100,good,8,gas,0.000123,clean,automatic,rwd,full-size,truck,purple,27777
0.028169,dodge,b-3b,good,6,gas,0.003393,clean,automatic,rwd,full-size,pickup,red,35000
0.042254,chevrolet,210,fair,6,gas,0.006,clean,automatic,fwd,full-size,sedan,blue,4500
0.042254,mercury,monterey,good,8,gas,0.00783,clean,automatic,rwd,mid-size,convertible,red,13000
0.042254,ford,customline,excellent,8,gas,0.0001,clean,automatic,rwd,full-size,sedan,red,13500
0.042254,ford,customline,excellent,8,gas,0.0001,clean,automatic,rwd,full-size,sedan,red,13500
0.042254,chevrolet,belair,excellent,8,gas,0.000113,clean,automatic,rwd,full-size,coupe,red,32000
0.056338,ford,customline,salvage,8,gas,0.0089,salvage,automatic,rwd,full-size,sedan,green,1100
0.056338,dodge,37,excellent,8,gas,0.0042,clean,manual,4wd,full-size,pickup,green,11000
0.056338,chevrolet,2 door',excellent,6,gas,0.005859,clean,manual,rwd,full-size,coupe,green,18500
0.070423,chevrolet,station wagon',fair,8,gas,0.000291,clean,automatic,rwd,full-size,wagon,blue,14000
0.070423,chevrolet,pickup,good,6,gas,0.01,clean,manual,rwd,full-size,pickup,grey,17000
0.070423,chevrolet,210,fair,8,gas,0.000319,clean,automatic,rwd,full-size,sedan,blue,17500
0.070423,ford,f150,excellent,8,gas,0.0028,clean,automatic,rwd,mid-size,truck,red,24987
0.070423,pontiac,chieftain,'like new',8,gas,1e-05,clean,automatic,rwd,full-size,sedan,custom,28000
0.070423,chevrolet,belair,excellent,8,gas,0.003185,rebuilt,automatic,rwd,full-size,sedan,red,28500
0.070423,chevrolet,210,good,8,gas,0.000123,clean,automatic,rwd,full-size,sedan,orange,28999
0.070423,chevrolet,210,good,8,gas,0.000123,clean,automatic,rwd,full-size,sedan,orange,28999
0.070423,chevrolet,210,good,8,gas,0.000123,clean,automatic,rwd,full-size,sedan,orange,28999
0.070423,chevrolet,210,good,8,gas,0.000123,clean,automatic,rwd,full-size,sedan,orange,28999
0.070423,chevrolet,210,good,8,gas,0.000123,clean,automatic,rwd,full-size,sedan,orange,28999
0.070423,ford,pu,excellent,8,gas,0.0055,clean,automatic,rwd,full-size,pickup,silver,49000
0.070423,chevrolet,delray,'like new',8,gas,0.0001,clean,manual,rwd,full-size,sedan,green,76000
0.084507,ford,f100 pickup',good,8,gas,0.005609,clean,automatic,rwd,full-size,pickup,red,7000
0.084507,buick,super,excellent,8,gas,0.0094,clean,automatic,rwd,full-size,sedan,green,11500
0.084507,chevrolet,210,good,8,gas,0.001234,clean,manual,rwd,full-size,coupe,blue,15500
0.084507,buick,special,good,8,gas,0.0067,clean,automatic,rwd,full-size,sedan,green,16900
0.084507,chevrolet,3500,good,6,gas,2.9e-05,clean,manual,rwd,full-size,truck,blue,17400
0.084507,ford,thunderbird,good,8,gas,0.0,clean,automatic,rwd,full-size,coupe,red,28500
0.084507,ford,thunderbird,good,8,gas,0.000795,clean,automatic,rwd,mid-size,convertible,black,28800
0.084507,ford,anglia thames',excellent,8,gas,0.00037,clean,automatic,rwd,sub-compact,mini-van,blue,29000
0.084507,chevrolet,belair,good,8,gas,0.00065,clean,automatic,rwd,full-size,coupe,blue,32900
0.084507,ford,thunderbird convertible',good,8,gas,0.006297,clean,automatic,rwd,mid-size,convertible,blue,34500
0.084507,buick,estate wagon',good,8,gas,0.00024,clean,automatic,rwd,full-size,wagon,grey,37500
0.084507,ford,thunderbird,excellent,8,gas,0.0043,clean,automatic,rwd,compact,convertible,blue,39000
0.084507,ford,thunderbird,good,8,gas,0.008066,clean,automatic,rwd,mid-size,convertible,blue,44500
0.084507,chevrolet,210,'like new',8,gas,3e-05,clean,manual,rwd,full-size,coupe,yellow,52995
0.098592,gmc,lcf 2 ton dually',excellent,8,gas,0.075461,clean,manual,rwd,full-size,truck,green,7200
0.098592,gmc,lcf 2 ton dually',excellent,8,gas,0.075461,clean,manual,rwd,full-size,truck,green,7200
0.098592,chevrolet,wagon,fair,6,gas,0.005793,clean,manual,rwd,full-size,wagon,yellow,7500
0.098592,chevrolet,belair,fair,8,gas,0.01,clean,automatic,rwd,full-size,coupe,black,11500
0.098592,ford,f100,good,8,gas,0.0064,clean,automatic,rwd,full-size,truck,black,13900
0.098592,ford,custom 300',excellent,6,gas,0.0076,clean,manual,rwd,full-size,sedan,black,26000
0.098592,chevrolet,bel-air,excellent,8,gas,0.000123,clean,automatic,rwd,full-size,coupe,custom,28000
0.098592,chevrolet,bel air','like new',8,gas,0.00028,clean,automatic,rwd,full-size,coupe,red,85000
0.112676,jeep,fcw170,good,6,gas,0.01,clean,manual,4wd,full-size,truck,red,5000
0.112676,chevrolet,delray,good,6,gas,0.0042,clean,manual,rwd,full-size,sedan,black,5800
0.126761,ford,f-100,fair,8,gas,0.0017,clean,automatic,rwd,full-size,pickup,custom,10000
0.126761,gmc,100,good,6,gas,1e-05,clean,manual,rwd,full-size,truck,black,10500
0.140845,volkswagen,beetle,good,4,gas,5e-06,clean,manual,rwd,compact,sedan,custom,5000
0.140845,ford,falcon,excellent,6,gas,0.0005,clean,automatic,rwd,compact,sedan,custom,8500
0.140845,chevrolet,el camino',good,6,gas,0.01,clean,automatic,rwd,full-size,sedan,white,10000
0.140845,pontiac,bonneville,excellent,8,gas,0.00143,clean,automatic,rwd,full-size,coupe,red,24500
0.15493,ford,falcon wagon',good,6,gas,0.0047,missing,automatic,rwd,mid-size,wagon,white,1900
0.15493,chevrolet,swb apache',good,8,gas,0.0,clean,manual,4wd,full-size,truck,blue,12000
0.15493,chevrolet,c-10,excellent,8,gas,0.0085,clean,automatic,rwd,full-size,pickup,custom,22000
0.15493,mini,cooper s',excellent,4,gas,0.003,clean,manual,rwd,full-size,coupe,custom,22500
0.15493,ford,starliner,excellent,8,gas,0.013,clean,manual,rwd,full-size,coupe,black,35000
0.169014,ford,fairlane 500',good,8,gas,0.009055,clean,automatic,rwd,full-size,sedan,custom,4200
0.169014,chevrolet,impala,fair,8,gas,0.006,clean,automatic,rwd,full-size,sedan,red,5000
