Name,Year,Odometer,Fuel_Type,Transmission,Mileage,Engine,Power,Seats,Price_usd
'Audi Q7 45 TDI Quattro Technology',0.904762,0.009128,Diesel,Automatic,0.439773,0.435988,0.400913,0.7,119904
'Mercedes-Benz GLC 43 AMG Coupe',0.952381,0.003419,Petrol,Automatic,0.342874,0.441384,0.63294,0.5,114456
'Mercedes-Benz GLE 350d',0.904762,0.004561,Diesel,Automatic,0.344961,0.43971,0.419532,0.5,114156
'Mercedes-Benz GLE 350d',0.952381,0.006148,Diesel,Automatic,0.344961,0.43971,0.419532,0.5,114156
'Mercedes-Benz GLE 350d',0.904762,0.005136,Diesel,Automatic,0.344961,0.43971,0.419532,0.5,114156
'Mercedes-Benz GLE 350d',0.952381,0.004698,Diesel,Automatic,0.344961,0.43971,0.419532,0.5,114156
'Mercedes-Benz GLE 350d',0.952381,0.004478,Diesel,Automatic,0.344961,0.43971,0.419532,0.5,114156
'Mercedes-Benz GLE 350d',0.857143,0.004365,Diesel,Automatic,0.344961,0.43971,0.419532,0.5,114156
'Mercedes-Benz SLC 43 AMG',0.904762,0.002031,Petrol,Automatic,0.566488,0.441384,0.623564,0.2,114048
'Mercedes-Benz GLE 350d',0.857143,0.004435,Diesel,Automatic,0.344961,0.43971,0.419532,0.5,111348
'Mercedes-Benz E-Class E 350 d',1,0.001406,Diesel,Automatic,0.536673,0.43971,0.425637,0.5,111000
'Audi Q7 45 TDI Quattro Premium Plus',1,0.001016,Diesel,Automatic,0.439773,0.435988,0.400913,0.7,109656
'Mercedes-Benz GLE 350d',0.904762,0.00303,Diesel,Automatic,0.344961,0.43971,0.419532,0.5,109476
'Toyota Etios Cross 1.4L VD',0.761905,0.008815,Diesel,Manual,0.703339,0.1377,0.062495,0.5,11988
'Volkswagen Polo 1.5 TDI Highline',0.904762,0.00382,Diesel,Manual,0.600477,0.162635,0.10232,0.5,11964
'Maruti Vitara Brezza VDi',0.857143,0.008435,Diesel,Manual,0.724508,0.116115,0.103271,0.5,11952
'Volkswagen Polo 1.5 TDI Highline',0.666667,0.010441,Diesel,Manual,0.600477,0.162635,0.10232,0.5,11952
'Maruti Vitara Brezza VDi',0.857143,0.005698,Diesel,Manual,0.724508,0.116115,0.103271,0.5,11916
'Maruti Vitara Brezza ZDi',0.904762,0.009025,Diesel,Manual,0.724508,0.116115,0.103271,0.5,11868
'Maruti Baleno RS Petrol',0.952381,0.006688,Petrol,Manual,0.6291,0.069594,0.125143,0.5,11796
'Ford Aspire Titanium Diesel',0.904762,0.004632,Diesel,Manual,0.778175,0.162635,0.123241,0.5,11748
