year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price
0.008585,13,1339,1,5,2,0.001843,1,1,2,1,8,0,9500
0.008585,7,187,3,5,2,0.002515,1,1,2,1,9,4,16000
0.008585,13,3403,3,6,2,0.004713,1,1,1,2,8,4,18000
0.008585,7,3705,1,6,2,0.001234,1,0,2,2,3,11,22000
0.008585,7,3705,0,6,2,0.001234,1,0,2,2,3,11,22000
0.008585,13,1714,1,6,2,0.00242,1,0,2,1,9,8,22900
0.014085,13,1339,3,5,2,0.01,1,0,2,1,2,5,5950
0.014085,13,1339,3,5,2,0.01,1,0,2,1,2,5,5950
0.014085,7,3743,3,5,2,0.0042,1,1,2,1,8,4,5950
0.014085,10,656,3,5,2,0.0069,1,1,2,1,7,4,9500
0.014085,19,1057,0,3,2,0.001441,1,1,0,2,8,8,20000
0.014085,25,2792,3,6,2,0.001714,1,0,2,1,3,0,35000
0.014085,13,1137,1,6,2,0.000351,1,1,1,1,2,8,35000
0.014085,29,3404,1,5,2,0.003743,1,1,2,1,8,11,36000
0.014085,7,2999,1,6,2,0.002,1,0,2,1,7,0,38500
0.028169,25,2792,2,6,2,0.0089,2,0,2,2,8,5,6500
0.028169,13,1830,3,6,2,1e-05,1,0,2,2,9,3,13000
0.028169,10,2633,3,5,2,0.000655,1,1,0,1,9,4,15000
0.028169,7,186,3,6,2,0.000123,1,0,2,1,9,7,27777
0.028169,10,657,3,5,2,0.003393,1,0,2,1,7,8,35000
0.042254,7,75,2,5,2,0.006,1,0,1,1,8,1,4500
0.042254,25,2792,3,6,2,0.00783,1,0,2,2,2,8,13000
0.042254,13,1287,1,6,2,0.0001,1,0,2,1,8,8,13500
0.042254,13,1287,1,6,2,0.0001,1,0,2,1,8,8,13500
0.042254,7,677,1,6,2,0.000113,1,0,2,1,3,8,32000
0.056338,13,1287,5,6,2,0.0089,5,0,2,1,8,4,1100
0.056338,10,272,1,6,2,0.0042,1,1,0,1,7,4,11000
0.056338,7,56,1,5,2,0.005859,1,1,2,1,3,4,18500
0.070423,7,3733,2,6,2,0.000291,1,0,2,1,11,1,14000
0.070423,7,2999,3,5,2,0.01,1,1,2,1,7,5,17000
0.070423,7,75,2,6,2,0.000319,1,0,2,1,8,1,17500
0.070423,13,1833,1,6,2,0.0028,1,0,2,2,9,8,24987
0.070423,29,1024,0,6,2,1e-05,1,0,2,1,8,3,28000
0.070423,7,677,1,6,2,0.003185,4,0,2,1,8,8,28500
0.070423,7,75,3,6,2,0.000123,1,0,2,1,8,6,28999
0.070423,7,75,3,6,2,0.000123,1,0,2,1,8,6,28999
0.070423,7,75,3,6,2,0.000123,1,0,2,1,8,6,28999
0.070423,7,75,3,6,2,0.000123,1,0,2,1,8,6,28999
0.070423,7,75,3,6,2,0.000123,1,0,2,1,8,6,28999
0.070423,13,3073,1,6,2,0.0055,1,0,2,1,7,9,49000
0.070423,7,1338,0,6,2,0.0001,1,1,2,1,8,4,76000
0.084507,13,1832,3,6,2,0.005609,1,0,2,1,7,8,7000
0.084507,5,3768,1,6,2,0.0094,1,0,2,1,8,4,11500
0.084507,7,75,3,6,2,0.001234,1,1,2,1,3,1,15500
0.084507,5,3698,3,6,2,0.0067,1,0,2,1,8,4,16900
0.084507,7,240,3,5,2,2.9e-05,1,1,2,1,9,1,17400
0.084507,13,3880,3,6,2,0.0,1,0,2,1,3,8,28500
0.084507,13,3880,3,6,2,0.000795,1,0,2,2,2,0,28800
0.084507,13,585,1,6,2,0.00037,1,0,2,3,5,1,29000
0.084507,7,677,3,6,2,0.00065,1,0,2,1,3,1,32900
0.084507,13,3881,3,6,2,0.006297,1,0,2,2,2,1,34500
0.084507,5,1632,3,6,2,0.00024,1,0,2,1,11,5,37500
0.084507,13,3880,1,6,2,0.0043,1,0,2,0,2,1,39000
0.084507,13,3880,3,6,2,0.008066,1,0,2,2,2,1,44500
0.084507,7,75,0,6,2,3e-05,1,1,2,1,3,11,52995
0.098592,14,2544,1,6,2,0.075461,1,1,2,1,9,4,7200
0.098592,14,2544,1,6,2,0.075461,1,1,2,1,9,4,7200
0.098592,7,4166,2,5,2,0.005793,1,1,2,1,11,11,7500
0.098592,7,677,2,6,2,0.01,1,0,2,1,3,0,11500
0.098592,13,1831,3,6,2,0.0064,1,0,2,1,9,0,13900
0.098592,13,1286,1,5,2,0.0076,1,1,2,1,8,0,26000
0.098592,7,676,1,6,2,0.000123,1,0,2,1,3,3,28000
0.098592,7,675,0,6,2,0.00028,1,0,2,1,3,8,85000
0.112676,19,2001,3,5,2,0.01,1,1,0,1,9,8,5000
0.112676,7,1338,3,5,2,0.0042,1,1,2,1,8,0,5800
0.126761,13,1713,2,6,2,0.0017,1,0,2,1,7,3,10000
0.126761,14,2,3,5,2,1e-05,1,1,2,1,9,0,10500
0.140845,37,669,3,3,2,5e-06,1,1,2,0,8,3,5000
0.140845,13,1999,1,5,2,0.0005,1,0,2,0,8,3,8500
0.140845,7,1488,3,5,2,0.01,1,0,2,1,8,10,10000
0.140845,29,788,1,6,2,0.00143,1,0,2,1,3,8,24500
0.15493,13,2000,3,5,2,0.0047,3,0,2,2,11,10,1900
0.15493,7,3791,3,6,2,0.0,1,1,0,1,9,1,12000
0.15493,7,812,1,6,2,0.0085,1,0,2,1,7,3,22000
0.15493,26,1156,1,3,2,0.003,1,1,2,1,3,3,22500
0.15493,13,3732,1,6,2,0.013,1,1,2,1,3,0,35000
0.169014,13,1997,3,6,2,0.009055,1,0,2,1,8,3,4200
0.169014,7,2387,2,6,2,0.006,1,0,2,1,8,8,5000
0.169014,13,2223,5,6,2,0.006456,1,1,2,1,8,5,9250
0.169014,8,3861,0,3,2,0.002512,1,0,1,1,2,0,10800
0.169014,13,1997,3,6,2,0.0095,1,0,2,1,3,0,12000
0.169014,38,358,1,3,2,0.0095,1,1,2,0,3,10,15500
0.169014,7,1186,1,6,2,0.005094,1,1,2,3,2,3,55000
0.183099,25,1111,2,5,2,0.01,1,0,2,1,3,7,2250
0.183099,38,3,3,3,2,0.01,1,1,2,0,8,4,3333
0.183099,7,2387,2,6,2,0.008,1,1,2,1,8,2,5000
0.183099,13,2223,3,5,2,0.0,4,0,1,1,8,1,6500
0.183099,7,2387,2,5,2,0.0073,1,1,2,1,8,4,7500
