year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price
0,ford,m-deluxe,excellent,6,gas,0.001843,clean,manual,rwd,full-size,sedan,black,9500
0,chevrolet,'m-3100 truck',good,6,gas,0.002515,clean,manual,rwd,full-size,truck,green,16000
0,ford,m-sedan,good,8,gas,0.004713,clean,manual,fwd,mid-size,sedan,green,18000
0,chevrolet,'m-sport coupe',excellent,8,gas,0.001234,clean,automatic,rwd,mid-size,coupe,yellow,22000
0,chevrolet,'m-sport coupe','like new',8,gas,0.001234,clean,automatic,rwd,mid-size,coupe,yellow,22000
0,ford,m-f-150,excellent,8,gas,0.00242,clean,automatic,rwd,full-size,truck,red,22900
0.014085,ford,m-deluxe,good,other,gas,0.01,clean,other,rwd,full-size,convertible,grey,5950
0.014085,ford,m-deluxe,good,other,gas,0.01,clean,other,rwd,full-size,convertible,grey,5950
0.014085,chevrolet,'m-styleline deluxe',good,6,gas,0.0042,clean,manual,rwd,full-size,sedan,green,5950
0.014085,dodge,m-b-3-b,good,6,gas,0.0069,clean,manual,rwd,full-size,pickup,green,9500
0.014085,jeep,'m-cj 3a willys','like new','4',gas,0.001441,clean,manual,4wd,mid-size,other,red,20000
0.014085,mercury,m-monterey,good,8,gas,0.001714,clean,automatic,rwd,full-size,coupe,black,35000
0.014085,ford,m-convertible,excellent,8,gas,0.000351,clean,manual,fwd,full-size,convertible,red,35000
0.014085,pontiac,'m-sedan delivery',excellent,6,gas,0.003743,clean,manual,rwd,full-size,sedan,yellow,36000
0.014085,chevrolet,m-pickup,excellent,8,gas,0.002,clean,automatic,rwd,full-size,pickup,black,38500
0.028169,mercury,m-monterey,fair,8,gas,0.0089,lien,automatic,rwd,mid-size,sedan,grey,6500
0.028169,ford,m-f1,good,8,gas,0.00001,clean,automatic,rwd,mid-size,truck,custom,13000
0.028169,dodge,'m-m 37',good,6,gas,0.000655,clean,manual,4wd,full-size,truck,green,15000
0.028169,chevrolet,m-3100,good,8,gas,0.000123,clean,automatic,rwd,full-size,truck,purple,27777
0.028169,dodge,m-b-3b,good,6,gas,0.003393,clean,automatic,rwd,full-size,pickup,red,35000
0.042254,chevrolet,m-210,fair,6,gas,0.006,clean,automatic,fwd,full-size,sedan,blue,4500
0.042254,mercury,m-monterey,good,8,gas,0.00783,clean,automatic,rwd,mid-size,convertible,red,13000
0.042254,ford,m-customline,excellent,8,gas,0.0001,clean,automatic,rwd,full-size,sedan,red,13500
0.042254,ford,m-customline,excellent,8,gas,0.0001,clean,automatic,rwd,full-size,sedan,red,13500
0.042254,chevrolet,m-belair,excellent,8,gas,0.000113,clean,automatic,rwd,full-size,coupe,red,32000
0.056338,ford,m-customline,salvage,8,gas,0.0089,salvage,automatic,rwd,full-size,sedan,green,1100
