year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price
0,ford,m-deluxe,0.6,'6 cylinders',gas,0.001843,1,manual,0.667,full-size,sedan,black,9500
0,chevrolet,'m-3100 truck',0.4,'6 cylinders',gas,0.002515,1,manual,0.667,full-size,truck,green,16000
0,ford,m-sedan,0.4,'8 cylinders',gas,0.004713,1,manual,0.333,mid-size,sedan,green,18000
0,chevrolet,'m-sport coupe',0.6,'8 cylinders',gas,0.001234,1,automatic,0.667,mid-size,coupe,yellow,22000
0,chevrolet,'m-sport coupe',,'8cylinders',gas,0.001234,1,automatic,0.667,mid-size,coupe,yellow,22000
0.00998,ford,m-f-150,0.6,'8 cylinders',gas,0.00242,1,automatic,0.667,full-size,truck,red,22900
0.014085,ford,m-deluxe,0.4,other,gas,0.01,1,other,0.667,full-size,convertible,grey,5950
0.014085,ford,m-deluxe,0.4,other,gas,0.01,1,other,0.667,full-size,convertible,grey,5950
0.014085,chevrolet,'m-styleline deluxe',0.4,'6 cylinders',gas,0.0042,1,manual,0.667,full-size,sedan,green,5950
0.014085,dodge,m-b-3-b,0.4,'6 cylinders',gas,0.0069,1,manual,0.667,full-size,pickup,green,9500
0.014085,jeep,'m-cj 3a willys',,'4cylinders',gas,0.001441,1,manual,1,mid-size,other,red,20000
0.014085,mercury,m-monterey,0.4,'8 cylinders',gas,0.001714,1,automatic,0.667,full-size,coupe,black,35000
0.014085,ford,m-convertible,0.6,'8 cylinders',gas,0.000351,1,manual,0.333,full-size,convertible,red,35000
0.014085,pontiac,'m-sedan delivery',0.6,'6 cylinders',gas,0.003743,1,manual,0.667,full-size,sedan,yellow,36000
0.014085,chevrolet,m-pickup,0.6,'8 cylinders',gas,0.002,1,automatic,0.667,full-size,pickup,black,38500
0.028169,mercury,m-monterey,0.2,'8 cylinders',gas,0.0089,0.5,automatic,0.667,mid-size,sedan,grey,6500
0.028169,ford,m-f1,0.4,'8 cylinders',gas,0.00001,1,automatic,0.667,mid-size,truck,custom,13000
0.028169,dodge,'m-m 37',0.4,'6 cylinders',gas,0.000655,1,manual,1,full-size,truck,green,15000
0.028169,chevrolet,m-3100,0.4,'8 cylinders',gas,0.000123,1,automatic,0.667,full-size,truck,purple,27777
0.028169,dodge,m-b-3b,0.4,'6 cylinders',gas,0.003393,1,automatic,0.667,full-size,pickup,red,35000
0.042254,chevrolet,m-210,0.2,'6 cylinders',gas,0.006,1,automatic,0.333,full-size,sedan,blue,4500
0.042254,mercury,m-monterey,0.4,'8 cylinders',gas,0.00783,1,automatic,0.667,mid-size,convertible,red,13000
0.042254,ford,m-customline,0.6,'8 cylinders',gas,0.0001,1,automatic,0.667,full-size,sedan,red,13500
0.042254,ford,m-customline,0.6,'8 cylinders',gas,0.0001,1,automatic,0.667,full-size,sedan,red,13500
0.042254,chevrolet,m-belair,0.6,'8 cylinders',gas,0.000113,1,automatic,0.667,full-size,coupe,red,32000
0.056338,ford,m-customline,0,'8 cylinders',gas,0.0089,0,automatic,0.667,full-size,sedan,green,1100
0.056338,dodge,m-m-37,0.6,'8 cylinders',gas,0.0042,1,manual,1,full-size,pickup,green,11000
0.056338,chevrolet,'m-2 door',0.6,'6 cylinders',gas,0.005859,1,manual,0.667,full-size,coupe,green,18500
0.070423,chevrolet,'m-station wagon',0.2,'8 cylinders',gas,0.000291,1,automatic,0.667,full-size,wagon,blue,14000
0.070423,chevrolet,m-pickup,0.4,'6 cylinders',gas,0.01,1,manual,0.667,full-size,pickup,grey,17000
0.070423,chevrolet,m-210,0.2,'8 cylinders',gas,0.000319,1,automatic,0.667,full-size,sedan,blue,17500
0.070423,ford,m-f150,0.6,'8 cylinders',gas,0.0028,1,automatic,0.667,mid-size,truck,red,24987
0.070423,pontiac,m-chieftain,,'8cylinders',gas,0.00001,1,automatic,0.667,full-size,sedan,custom,28000
0.070423,chevrolet,m-belair,0.6,'8 cylinders',gas,0.003185,0.8,automatic,0.667,full-size,sedan,red,28500
0.070423,chevrolet,m-210,0.4,'8 cylinders',gas,0.000123,1,automatic,0.667,full-size,sedan,orange,28999
0.070423,chevrolet,m-210,0.4,'8 cylinders',gas,0.000123,1,automatic,0.667,full-size,sedan,orange,28999
0.070423,chevrolet,m-210,0.4,'8 cylinders',gas,0.000123,1,automatic,0.667,full-size,sedan,orange,28999
0.070423,chevrolet,m-210,0.4,'8 cylinders',gas,0.000123,1,automatic,0.667,full-size,sedan,orange,28999
0.070423,chevrolet,m-210,0.4,'8 cylinders',gas,0.000123,1,automatic,0.667,full-size,sedan,orange,28999
0.070423,ford,m-pu,0.6,'8 cylinders',gas,0.0055,1,automatic,0.667,full-size,pickup,silver,49000
0.070423,chevrolet,m-delray,,'8cylinders',gas,0.0001,1,manual,0.667,full-size,sedan,green,76000
0.084507,ford,'m-f100 pickup',0.4,'8 cylinders',gas,0.005609,1,automatic,0.667,full-size,pickup,red,7000
0.084507,buick,m-super,0.6,'8 cylinders',gas,0.0094,1,automatic,0.667,full-size,sedan,green,11500
0.084507,chevrolet,m-210,0.4,'8 cylinders',gas,0.001234,1,manual,0.667,full-size,coupe,blue,15500
0.084507,buick,m-special,0.4,'8 cylinders',gas,0.0067,1,automatic,0.667,full-size,sedan,green,16900
0.084507,chevrolet,m-3500,0.4,'6 cylinders',gas,0.000029,1,manual,0.667,full-size,truck,blue,17400
0.084507,ford,m-thunderbird,0.4,'8 cylinders',gas,0,1,automatic,0.667,full-size,coupe,red,28500
0.084507,ford,m-thunderbird,0.4,'8 cylinders',gas,0.000795,1,automatic,0.667,mid-size,convertible,black,28800
0.084507,ford,'m-anglia thames',0.6,'8 cylinders',gas,0.00037,1,automatic,0.667,sub-compact,mini-van,blue,29000
0.084507,chevrolet,m-belair,0.4,'8 cylinders',gas,0.00065,1,automatic,0.667,full-size,coupe,blue,32900
0.084507,ford,'m-thunderbird convertible',0.4,'8 cylinders',gas,0.006297,1,automatic,0.667,mid-size,convertible,blue,34500
0.084507,buick,'m-estate wagon',0.4,'8 cylinders',gas,0.00024,1,automatic,0.667,full-size,wagon,grey,37500
0.084507,ford,m-thunderbird,0.6,'8 cylinders',gas,0.0043,1,automatic,0.667,compact,convertible,blue,39000
0.084507,ford,m-thunderbird,0.4,'8 cylinders',gas,0.008066,1,automatic,0.667,mid-size,convertible,blue,44500
0.084507,chevrolet,m-210,,'8cylinders',gas,0.00003,1,manual,0.667,full-size,coupe,yellow,52995
0.098592,gmc,'m-lcf 2 ton dually',0.6,'8 cylinders',gas,0.075461,1,manual,0.667,full-size,truck,green,7200
0.098592,gmc,'m-lcf 2 ton dually',0.6,'8 cylinders',gas,0.075461,1,manual,0.667,full-size,truck,green,7200
0.098592,chevrolet,m-wagon,0.2,'6 cylinders',gas,0.005793,1,manual,0.667,full-size,wagon,yellow,7500
0.098592,chevrolet,m-belair,0.2,'8 cylinders',gas,0.01,1,automatic,0.667,full-size,coupe,black,11500
0.098592,ford,m-f100,0.4,'8 cylinders',gas,0.0064,1,automatic,0.667,full-size,truck,black,13900
0.098592,ford,'m-custom 300',0.6,'6 cylinders',gas,0.0076,1,manual,0.667,full-size,sedan,black,26000
0.098592,chevrolet,m-bel-air,0.6,'8 cylinders',gas,0.000123,1,automatic,0.667,full-size,coupe,custom,28000
0.098592,chevrolet,'m-bel air',,'8cylinders',gas,0.00028,1,automatic,0.667,full-size,coupe,red,85000
0.112676,jeep,m-fcw170,0.4,'6 cylinders',gas,0.01,1,manual,1,full-size,truck,red,5000
0.112676,chevrolet,m-delray,0.4,'6 cylinders',gas,0.0042,1,manual,0.667,full-size,sedan,black,5800
0.126761,ford,m-f-100,0.2,'8 cylinders',gas,0.0017,1,automatic,0.667,full-size,pickup,custom,10000
0.126761,gmc,m-100,0.4,'6 cylinders',gas,0.00001,1,manual,0.667,full-size,truck,black,10500
0.140845,volkswagen,m-beetle,0.4,'4 cylinders',gas,0.000005,1,manual,0.667,compact,other,custom,5000
0.140845,ford,m-falcon,0.6,'6 cylinders',gas,0.0005,1,automatic,0.667,compact,sedan,custom,8500
0.140845,chevrolet,'m-el camino',0.4,other,gas,0.01,1,automatic,0.667,full-size,other,white,10000
0.140845,pontiac,m-bonneville,0.6,'8 cylinders',gas,0.00143,1,automatic,0.667,full-size,coupe,red,24500
0.15493,ford,'m-falcon wagon',0.4,'6 cylinders',gas,0.0047,0,automatic,0.667,mid-size,wagon,white,1900
0.15493,chevrolet,'m-swb apache',0.4,'8 cylinders',gas,0,1,manual,1,full-size,truck,blue,12000
0.15493,chevrolet,m-c-10,0.6,'8 cylinders',gas,0.0085,1,automatic,0.667,full-size,pickup,custom,22000
0.15493,mini,'m-cooper s',0.6,'4 cylinders',gas,0.003,1,manual,0.667,full-size,coupe,custom,22500
0.15493,ford,m-starliner,0.6,'8 cylinders',gas,0.013,1,manual,0.667,full-size,coupe,black,35000
0.169014,ford,'m-0.2lane 500',0.4,'8 cylinders',gas,0.009055,1,automatic,0.667,full-size,sedan,custom,4200
0.169014,chevrolet,m-impala,0.2,'8 cylinders',gas,0.006,1,automatic,0.667,full-size,sedan,red,5000
0.169014,ford,'m-galaxie 500',0,'8 cylinders',gas,0.006456,1,manual,0.667,full-size,sedan,grey,9250
0.169014,chrysler,'m-tc by maserati',,'4cylinders',gas,0.002512,1,automatic,0.333,full-size,convertible,black,10800
0.169014,ford,'m-0.2lane 500',0.4,'8 cylinders',gas,0.0095,1,automatic,0.667,full-size,coupe,black,12000
0.169014,volvo,m-544,0.6,'4 cylinders',gas,0.0095,1,manual,0.667,compact,coupe,white,15500
0.169014,chevrolet,'m-corvette convertible',0.6,'8 cylinders',gas,0.005094,1,manual,0.667,sub-compact,convertible,custom,55000
0.183099,mercury,m-comet,0.2,'6 cylinders',gas,0.01,1,automatic,0.667,full-size,coupe,purple,2250
0.183099,volvo,m-122s,0.4,'4 cylinders',gas,0.01,1,manual,0.667,compact,sedan,green,3333
0.183099,chevrolet,m-impala,0.2,'8 cylinders',gas,0.008,1,manual,0.667,full-size,sedan,brown,5000
0.183099,ford,'m-galaxie 500',0.4,'6 cylinders',gas,0,0.8,automatic,0.333,full-size,other,blue,6500
0.183099,chevrolet,m-impala,0.2,'6 cylinders',gas,0.0073,1,manual,0.667,full-size,sedan,green,7500
0.183099,ford,m-f100,0.4,'8 cylinders',gas,0.0122,1,manual,0.667,full-size,pickup,green,12000
0.183099,pontiac,m-catalina,,'8cylinders',gas,0.018,1,automatic,0.667,full-size,sedan,red,15000
0.183099,ford,'m-galaxie 500 convertible',0.6,'8 cylinders',gas,0.009,1,automatic,0.667,full-size,convertible,black,16900
0.183099,chevrolet,'m-ii nova ss',0.6,'8 cylinders',gas,0.0028,1,automatic,0.667,mid-size,coupe,grey,20000
0.183099,chevrolet,m-biscayne,0.4,'8 cylinders',gas,0.007035,1,automatic,0.667,full-size,sedan,grey,22000
0.183099,chevrolet,m-biscayne,0.4,'8 cylinders',gas,0.007035,1,automatic,0.667,full-size,sedan,grey,22000
0.183099,chevrolet,m-impala,0.6,'8 cylinders',gas,0.003297,1,automatic,0.667,full-size,sedan,green,25000
0.183099,dodge,'m-m37 powerwagon mopar',0.4,'4 cylinders',diesel,0.0053,1,manual,1,full-size,truck,green,25000
0.183099,lincoln,m-continental,0.6,'8 cylinders',gas,0.00743,1,automatic,0.667,full-size,sedan,silver,32500
0.183099,lincoln,m-continental,0.6,'8 cylinders',gas,0.00743,1,automatic,0.667,full-size,sedan,silver,32500
0.197183,chevrolet,m-corvan,0.2,'6 cylinders',gas,0.055556,1,manual,0.667,full-size,van,blue,1200
0.197183,ford,m-f500,0.6,'8 cylinders',gas,0.0036,1,manual,0.667,full-size,truck,blue,4000
0.197183,ford,'m-0.2lane 500',0.4,'8 cylinders',gas,0.007248,1,other,0.667,mid-size,coupe,red,4800
0.197183,ford,'m-0.2lane 500',0.6,'6 cylinders',gas,0.001,1,automatic,0.667,full-size,sedan,white,5000
0.197183,cadillac,'m-convertible project',0.4,'8 cylinders',gas,0.01,1,automatic,0.667,full-size,convertible,black,13000
0.197183,chevrolet,m-nova,0.6,'8 cylinders',gas,0.01,1,manual,0.667,mid-size,coupe,grey,15000
0.197183,ford,'m-galaxie 500 xl',0.4,'8 cylinders',gas,0.0087,1,automatic,0.667,full-size,coupe,white,19500
0.197183,mercedes-benz,'m-benz unimog',0.6,'6 cylinders',gas,0.00368,0,manual,1,full-size,SUV,green,20000
0.197183,mercedes-benz,'m-benz unimog',0.6,'6 cylinders',gas,0.00368,0,manual,1,full-size,SUV,green,20000
0.197183,dodge,'m-dart. gt',,'8cylinders',gas,0.001996,1,manual,0.667,mid-size,coupe,blue,22000
0.197183,ford,m-f-100,0.4,'8 cylinders',gas,0.010806,1,automatic,0.667,full-size,truck,green,25800
0.197183,chevrolet,'m-chevelle malibu',0.6,'8 cylinders',gas,0.0019,1,automatic,0.667,mid-size,coupe,red,29300
0.197183,chevrolet,m-panel,,'8cylinders',gas,0.000003,1,automatic,0.667,full-size,wagon,custom,35999
0.197183,chevrolet,'m-impala ss',0.4,'8 cylinders',gas,0.000778,1,manual,0.667,full-size,other,blue,52000
0.211268,ford,'m-f 250',0.2,'8 cylinders',gas,0.0072,0,manual,0.667,full-size,truck,green,2975
0.211268,ford,m-thunderbird,0.2,'8 cylinders',gas,0.0077,1,automatic,0.667,full-size,coupe,custom,4500
0.211268,chevrolet,'m-el camino',0.2,'8 cylinders',gas,0.00742,1,automatic,0.667,full-size,other,black,6000
0.211268,volkswagen,m-beetle,0.4,'4 cylinders',gas,0.0078,1,manual,0.667,compact,coupe,blue,7000
0.211268,chevrolet,'m-chevelle 300 deluxe',0.6,'6 cylinders',gas,0.0089,1,automatic,0.667,full-size,sedan,grey,7800
0.211268,chevrolet,m-corvair,0.6,'6 cylinders',gas,0.0108,1,manual,0.667,compact,sedan,white,8500
0.211268,mercury,'m-comet ca0.5te',0.6,'8 cylinders',gas,0.005988,1,automatic,0.667,full-size,sedan,black,9950
0.211268,cadillac,'m-coupe deville',0.6,'8 cylinders',gas,0.000697,1,automatic,0.667,full-size,sedan,white,12000
